,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Politik,A Rush of Blood to the Head,Coldplay,8/8/02,318626,59,0.0364,0.262,0.482,0.000189,0.11,-7.75,0.0294,170.968,4
1,In My Place,A Rush of Blood to the Head,Coldplay,8/8/02,226680,69,0.0553,0.424,0.588,4.95e-06,0.298,-5.455,0.0278,144.636,4
2,God Put a Smile upon Your Face,A Rush of Blood to the Head,Coldplay,8/8/02,297306,60,0.175,0.611,0.556,7.14e-05,0.0359,-5.761,0.0288,126.532,4
3,The Scientist,A Rush of Blood to the Head,Coldplay,8/8/02,309600,81,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4
4,Clocks,A Rush of Blood to the Head,Coldplay,8/8/02,307879,75,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,4
5,Daylight,A Rush of Blood to the Head,Coldplay,8/8/02,327800,51,0.00976,0.453,0.571,0.518,0.0846,-6.117,0.0314,132.787,4
6,Green Eyes,A Rush of Blood to the Head,Coldplay,8/8/02,223040,62,0.539,0.607,0.405,6.7e-06,0.231,-8.607,0.0265,129.543,4
7,Warning Sign,A Rush of Blood to the Head,Coldplay,8/8/02,331133,59,0.0942,0.532,0.433,0.0121,0.142,-9.423,0.0278,140.666,4
8,A Whisper,A Rush of Blood to the Head,Coldplay,8/8/02,238333,54,0.586,0.277,0.797,0.341,0.221,-5.66,0.0385,177.004,3
9,A Rush of Blood to the Head,A Rush of Blood to the Head,Coldplay,8/8/02,351400,56,0.156,0.525,0.472,4.39e-06,0.29,-8.018,0.0255,138.39,4
10,Amsterdam,A Rush of Blood to the Head,Coldplay,8/8/02,319360,54,0.836,0.269,0.176,0.0343,0.122,-10.463,0.0296,78.861,4
